HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Hong Kong,Philippines,1981,2,0,2
Taiwan,Japan,1981,1,0,1
India,Singapore,1981,5,0,5
Thailand,Indonesia,1981,3,0,3
Hong Kong,Singapore,1981,1,0,1
India,Philippines,1981,8,0,8
Taiwan,Indonesia,1981,10,0,10
Thailand,Japan,1981,2,0,2
Hong Kong,India,1981,0,0,0
Singapore,Philippines,1981,4,1,5
Taiwan,Thailand,1981,3,0,3
Japan,Indonesia,1981,1,0,1
Thailand,India,1981,1,0,1
Hong Kong,Taiwan,1981,0,1,1
Hong Kong,India,1981,0,2,2
Thailand,Taiwan,1981,0,5,5
Denmark,Italy,1981,1,1,2
Japan,England,1981,0,4,4
Japan,Italy,1981,0,9,9
England,Denmark,1981,0,1,1
Finland,Sweden,1982,0,6,6
Norway,Iceland,1982,2,2,4
Northern Ireland,Scotland,1982,1,2,3
Iceland,Sweden,1982,0,6,6
Finland,Norway,1982,0,3,3
England,Northern Ireland,1982,7,1,8
Scotland,Republic of Ireland,1982,3,0,3
Belgium,Netherlands,1982,3,2,5
Sweden,Norway,1982,2,0,2
Northern Ireland,Republic of Ireland,1982,1,2,3
Scotland,England,1982,0,4,4
Switzerland,Portugal,1982,2,0,2
Netherlands,Denmark,1982,2,1,3
France,Italy,1982,1,0,1
Denmark,Belgium,1982,1,0,1
Republic of Ireland,England,1982,0,1,1
Italy,Portugal,1982,3,0,3
Portugal,France,1982,0,0,0
France,Portugal,1983,2,0,2
Germany,Belgium,1983,1,1,2
Republic of Ireland,Scotland,1983,1,1,2
Netherlands,Germany,1983,2,2,4
Portugal,Switzerland,1983,1,1,2
Thailand,Malaysia,1983,8,0,8
India,Philippines,1983,5,0,5
Singapore,Hong Kong,1983,2,0,2
Thailand,Singapore,1983,3,0,3
India,Hong Kong,1983,1,0,1
Malaysia,Philippines,1983,1,0,1
Singapore,Philippines,1983,5,0,5
Thailand,Hong Kong,1983,4,0,4
India,Malaysia,1983,3,0,3
Singapore,Malaysia,1983,5,1,6
Philippines,Hong Kong,1983,2,0,2
Thailand,India,1983,2,1,3
Thailand,Philippines,1983,5,0,5
Malaysia,Hong Kong,1983,5,0,5
India,Singapore,1983,1,0,1
Scotland,Northern Ireland,1983,3,0,3
Malaysia,Singapore,1983,0,0,0
Thailand,India,1983,3,0,3
Netherlands,Belgium,1983,5,0,5
Italy,France,1983,3,0,3
Germany,Denmark,1983,1,1,2
France,Switzerland,1983,1,1,2
Northern Ireland,England,1983,0,4,4
England,Scotland,1983,2,0,2
Switzerland,Italy,1983,0,2,2
Sweden,Finland,1983,5,0,5
Portugal,Italy,1983,0,2,2
Iceland,Norway,1983,0,1,1
Norway,Finland,1983,3,0,3
Belgium,Denmark,1983,2,2,4
Iceland,Finland,1983,0,2,2
Sweden,Iceland,1983,5,0,5
Finland,Iceland,1983,3,0,3
England,Republic of Ireland,1983,6,0,6
Italy,Switzerland,1983,2,0,2
Norway,Sweden,1983,1,2,3
Denmark,Germany,1983,1,0,1
Germany,Netherlands,1983,1,1,2
Belgium,Germany,1983,1,1,2
Republic of Ireland,Northern Ireland,1983,3,2,5
Switzerland,France,1983,0,0,0
Denmark,Netherlands,1983,2,0,2
New Caledonia,Fiji,1983,2,0,2
New Zealand,Australia,1983,0,0,0
New Caledonia,Australia,1983,0,5,5
New Zealand,Fiji,1983,15,1,16
Australia,Fiji,1983,13,0,13
New Caledonia,New Zealand,1983,0,6,6
New Zealand,Australia,1983,3,2,5
England,Denmark,1984,2,1,3
Italy,Sweden,1984,2,3,5
Denmark,England,1984,0,1,1
Sweden,Italy,1984,2,1,3
Sweden,England,1984,1,0,1
England,Sweden,1984,1,0,1
Italy,West Germany,1984,1,2,3
England,Belgium,1984,1,1,2
Italy,Belgium,1984,4,0,4
West Germany,England,1984,2,0,2
Belgium,West Germany,1984,2,0,2
Italy,England,1984,1,1,2
England,Belgium,1984,2,1,3
Italy,West Germany,1984,3,1,4
Finland,Norway,1984,0,0,0
Germany,Finland,1984,1,0,1
Denmark,Finland,1984,1,1,2
Netherlands,France,1985,1,0,1
England,Scotland,1985,4,0,4
Hungary,Spain,1985,1,0,1
Denmark,Germany,1985,3,0,3
Belgium,France,1985,3,1,4
Republic of Ireland,Northern Ireland,1985,1,0,1
Finland,Denmark,1985,0,2,2
Northern Ireland,England,1985,1,7,8
France,Sweden,1985,0,4,4
Hungary,Italy,1985,2,3,5
Scotland,Republic of Ireland,1985,2,1,3
Sweden,Netherlands,1985,2,0,2
Spain,Switzerland,1985,0,2,2
Italy,United States,1985,1,0,1
Denmark,England,1985,1,0,1
Italy,England,1985,1,1,2
United States,Denmark,1985,2,2,4
Italy,Denmark,1985,2,1,3
England,United States,1985,3,1,4
Denmark,United States,1985,1,0,1
Italy,England,1985,2,3,5
Germany,Norway,1985,2,3,5
Italy,Switzerland,1985,3,0,3
Republic of Ireland,England,1985,0,6,6
Belgium,Netherlands,1985,1,3,4
Norway,Denmark,1985,2,2,4
Finland,Germany,1985,1,0,1
Sweden,Belgium,1985,5,0,5
Switzerland,Hungary,1985,1,2,3
France,Netherlands,1985,3,5,8
Spain,Italy,1985,2,3,5
Northern Ireland,Scotland,1985,1,9,10
France,Belgium,1986,3,1,4
England,Northern Ireland,1986,10,0,10
New Zealand,Australia,1986,0,1,1
Taiwan,Australia,1986,1,0,1
New Zealand,Taiwan,1986,1,2,3
Taiwan,Australia,1986,4,1,5
Spain,Hungary,1986,1,2,3
England,Republic of Ireland,1986,4,0,4
Italy,Hungary,1986,1,0,1
Sweden,France,1986,1,0,1
Norway,Germany,1986,0,0,0
Scotland,Northern Ireland,1986,7,0,7
Switzerland,Spain,1986,0,3,3
Italy,Japan,1986,5,1,6
United States,China PR,1986,2,1,3
Japan,Mexico,1986,3,0,3
United States,Brazil,1986,2,1,3
Italy,Mexico,1986,6,0,6
China PR,Brazil,1986,1,1,2
Italy,China PR,1986,3,0,3
United States,Japan,1986,3,1,4
China PR,Japan,1986,2,1,3
Italy,United States,1986,1,0,1
Northern Ireland,Republic of Ireland,1986,0,1,1
Denmark,Norway,1986,2,5,7
Netherlands,Belgium,1986,3,0,3
Republic of Ireland,Scotland,1986,1,5,6
Belgium,Sweden,1986,1,2,3
Germany,Denmark,1986,2,0,2
Norway,Finland,1986,2,0,2
Hungary,Switzerland,1986,1,1,2
Italy,Spain,1986,1,1,2
Scotland,England,1986,1,3,4
Netherlands,Sweden,1986,2,0,2
Switzerland,Italy,1986,1,2,3
China PR,Japan,1986,2,0,2
Hong Kong,Nepal,1986,1,0,1
Thailand,Indonesia,1986,4,0,4
China PR,Malaysia,1986,10,0,10
Thailand,Nepal,1986,5,0,5
Hong Kong,Indonesia,1986,0,1,1
Japan,Malaysia,1986,10,0,10
Indonesia,Nepal,1986,6,0,6
Hong Kong,Thailand,1986,0,2,2
China PR,Indonesia,1986,9,0,9
Thailand,Japan,1986,0,4,4
Thailand,Indonesia,1986,3,1,4
China PR,Japan,1986,2,0,2
Norway,Italy,1987,2,0,2
Sweden,England,1987,3,2,5
Italy,England,1987,2,1,3
Norway,Sweden,1987,2,1,3
Finland,Norway,1987,3,3,6
Sweden,Netherlands,1987,0,0,0
Norway,Denmark,1987,0,1,1
Hungary,Germany,1987,0,1,1
Bulgaria,Spain,1987,1,1,2
Belgium,Czechoslovakia,1987,1,1,2
Belgium,France,1987,0,2,2
Finland,England,1987,1,2,3
Netherlands,Scotland,1987,4,0,4
England,Denmark,1987,2,1,3
Czechoslovakia,Spain,1987,1,0,1
Hungary,Switzerland,1987,7,1,8
Germany,Italy,1987,3,0,3
France,Bulgaria,1987,5,0,5
Republic of Ireland,Netherlands,1987,0,1,1
Spain,Belgium,1987,1,0,1
Spain,France,1988,1,3,4
Netherlands,Republic of Ireland,1988,2,0,2
Spain,Bulgaria,1988,1,0,1
Italy,Germany,1988,0,0,0
Czechoslovakia,Belgium,1988,0,0,0
Republic of Ireland,Scotland,1988,2,1,3
Bulgaria,Belgium,1988,0,0,0
France,Spain,1988,0,0,0
Bulgaria,Czechoslovakia,1988,0,1,1
Italy,Hungary,1988,5,1,6
Republic of Ireland,Sweden,1988,1,1,2
France,Czechoslovakia,1988,2,2,4
Denmark,England,1988,2,0,2
Germany,Switzerland,1988,0,0,0
Spain,Czechoslovakia,1988,0,2,2
France,Belgium,1988,0,0,0
Norway,Finland,1988,0,2,2
Denmark,Finland,1988,3,1,4
Switzerland,Hungary,1988,3,0,3
Italy,Switzerland,1988,5,0,5
Italy,West Germany,1988,1,0,1
United States,West Germany,1988,2,1,3
France,England,1988,1,1,2
Italy,United States,1988,2,1,3
Italy,France,1988,3,0,3
England,United States,1988,2,0,2
United States,France,1988,1,0,1
Italy,England,1988,1,2,3
Norway,England,1988,2,0,2
Finland,Denmark,1988,1,2,3
England,Finland,1988,1,1,2
Denmark,Norway,1988,3,2,5
Switzerland,Germany,1988,0,10,10
England,Norway,1988,1,3,4
Sweden,Republic of Ireland,1988,4,0,4
Netherlands,Sweden,1988,1,0,1
Belgium,Bulgaria,1988,5,0,5
Hungary,Italy,1988,0,0,0
Czechoslovakia,France,1988,0,0,0
Denmark,Sweden,1988,1,5,6
Norway,Netherlands,1988,2,1,3
Czechoslovakia,Bulgaria,1988,3,0,3
Sweden,Denmark,1988,1,1,2
Belgium,Spain,1988,1,0,1
Switzerland,Italy,1988,0,6,6
Germany,Hungary,1988,4,0,4
Netherlands,Norway,1988,0,3,3
Bulgaria,France,1988,0,2,2
Czechoslovakia,Germany,1988,1,1,2
Italy,France,1988,2,0,2
France,Italy,1988,1,2,3
Germany,Czechoslovakia,1988,2,0,2
Australia,New Zealand,1989,0,2,2
Taiwan,Papua New Guinea,1989,6,1,7
New Zealand,Taiwan,1989,1,0,1
Australia,Papua New Guinea,1989,6,0,6
New Zealand,Papua New Guinea,1989,5,0,5
Australia,Taiwan,1989,1,4,5
Taiwan,New Zealand,1989,1,0,1
Germany,Italy,1989,1,1,2
Sweden,Norway,1989,1,2,3
Sweden,Italy,1989,2,1,3
Germany,Norway,1989,4,1,5
Finland,Norway,1989,0,1,1
England,Finland,1989,0,0,0
Germany,Hungary,1989,0,0,0
Czechoslovakia,Bulgaria,1989,2,0,2
Switzerland,Denmark,1989,0,4,4
Poland,France,1989,1,3,4
Norway,Belgium,1989,4,0,4
Sweden,Poland,1989,4,1,5
Bulgaria,Hungary,1989,0,3,3
Spain,Switzerland,1989,0,0,0
Netherlands,Republic of Ireland,1989,2,0,2
Germany,Czechoslovakia,1989,5,0,5
Spain,Denmark,1989,1,3,4
Italy,Switzerland,1989,4,1,5
Northern Ireland,Republic of Ireland,1989,1,2,3
China PR,Taiwan,1989,1,0,1
Hong Kong,Nepal,1989,3,0,3
Japan,Indonesia,1989,11,0,11
China PR,North Korea,1989,4,1,5
Taiwan,Thailand,1989,5,0,5
Indonesia,Nepal,1989,8,0,8
Hong Kong,Japan,1989,0,3,3
China PR,Thailand,1989,3,1,4
Taiwan,North Korea,1989,3,1,4
North Korea,Thailand,1989,4,0,4
Japan,Nepal,1989,14,0,14
Hong Kong,Indonesia,1989,0,0,0
Hong Kong,China PR,1989,0,7,7
Japan,Taiwan,1989,0,1,1
Hong Kong,Japan,1989,0,9,9
China PR,Taiwan,1989,1,0,1
Italy,Spain,1990,3,1,4
Belgium,England,1990,0,3,3
Northern Ireland,Netherlands,1990,0,6,6
England,Belgium,1990,1,0,1
Switzerland,Italy,1990,0,4,4
Bulgaria,Germany,1990,1,4,5
Denmark,Italy,1990,1,0,1
Republic of Ireland,Netherlands,1990,0,0,0
Czechoslovakia,Germany,1990,0,1,1
Switzerland,Spain,1990,2,1,3
Finland,Belgium,1990,3,0,3
France,Sweden,1990,0,2,2
Denmark,Switzerland,1990,4,0,4
Hungary,Czechoslovakia,1990,2,0,2
Norway,England,1990,2,0,2
Hungary,Bulgaria,1990,2,0,2
Poland,Sweden,1990,0,2,2
Norway,Finland,1990,4,0,4
Denmark,Spain,1990,5,0,5
England,Norway,1990,0,0,0
Netherlands,Northern Ireland,1990,9,0,9
Germany,Bulgaria,1990,4,0,4
Belgium,Norway,1990,0,1,1
France,Poland,1990,2,0,2
Finland,England,1990,0,0,0
Czechoslovakia,Hungary,1990,3,0,3
Italy,Denmark,1990,1,1,2
Republic of Ireland,Northern Ireland,1990,4,0,4
Belgium,Finland,1990,1,0,1
Sweden,France,1990,4,1,5
Hungary,Germany,1990,0,4,4
Bulgaria,Czechoslovakia,1990,2,3,5
Spain,Italy,1990,0,0,0
Norway,Hungary,1990,2,1,3
Sweden,Italy,1990,1,1,2
Denmark,Netherlands,1990,0,0,0
England,Germany,1990,1,4,5
Hungary,Norway,1990,0,2,2
Italy,Sweden,1990,0,0,0
Netherlands,Denmark,1990,0,1,1
Germany,England,1990,2,0,2
Nigeria,Ghana,1991,5,1,6
Ghana,Nigeria,1991,1,2,3
Canada,Costa Rica,1991,6,0,6
Haiti,Jamaica,1991,1,0,1
United States,Mexico,1991,12,0,12
Martinique,Trinidad and Tobago,1991,1,1,2
Canada,Jamaica,1991,9,0,9
Haiti,Costa Rica,1991,4,0,4
Trinidad and Tobago,Mexico,1991,3,1,4
United States,Martinique,1991,12,0,12
Jamaica,Costa Rica,1991,1,2,3
Haiti,Canada,1991,0,2,2
Martinique,Mexico,1991,1,8,9
United States,Trinidad and Tobago,1991,10,0,10
Canada,Trinidad and Tobago,1991,6,0,6
Haiti,United States,1991,0,10,10
Haiti,Trinidad and Tobago,1991,2,4,6
Brazil,Chile,1991,6,1,7
Canada,United States,1991,0,5,5
Chile,Venezuela,1991,1,0,1
Nigeria,Guinea,1991,3,0,3
Brazil,Venezuela,1991,6,11,17
Guinea,Nigeria,1991,0,4,4
New Zealand,Papua New Guinea,1991,16,0,16
Australia,New Zealand,1991,0,1,1
Australia,Papua New Guinea,1991,12,0,12
Papua New Guinea,New Zealand,1991,0,11,11
Australia,New Zealand,1991,1,0,1
Australia,Papua New Guinea,1991,8,0,8
Hong Kong,Singapore,1991,2,0,2
Japan,North Korea,1991,1,0,1
Japan,Hong Kong,1991,4,1,5
North Korea,Malaysia,1991,12,0,12
China PR,Taiwan,1991,3,0,3
Thailand,South Korea,1991,3,0,3
North Korea,Hong Kong,1991,5,0,5
Malaysia,Singapore,1991,1,0,1
Taiwan,South Korea,1991,9,0,9
China PR,Thailand,1991,10,1,11
North Korea,Singapore,1991,8,0,8
Japan,Malaysia,1991,12,0,12
Taiwan,Thailand,1991,0,0,0
China PR,South Korea,1991,10,0,10
Japan,Singapore,1991,10,0,10
Hong Kong,Malaysia,1991,0,0,0
China PR,North Korea,1991,1,0,1
Japan,Taiwan,1991,0,0,0
Taiwan,North Korea,1991,0,0,0
Japan,China PR,1991,0,5,5
Nigeria,Cameroon,1991,2,0,2
Cameroon,Nigeria,1991,0,4,4
Denmark,Norway,1991,0,0,0
Germany,Italy,1991,3,0,3
Denmark,Italy,1991,2,1,3
Germany,Norway,1991,3,1,4
Finland,Denmark,1991,1,1,2
Switzerland,Norway,1991,0,10,10
Poland,Czechoslovakia,1991,1,2,3
Russia,Hungary,1991,2,1,3
Denmark,France,1991,4,1,5
Italy,Poland,1991,3,1,4
Spain,Sweden,1991,0,4,4
Bulgaria,Hungary,1991,0,1,1
Greece,Romania,1991,0,0,0
Belgium,Switzerland,1991,0,0,0
China PR,Norway,1991,4,0,4
Denmark,New Zealand,1991,3,0,3
Japan,Brazil,1991,0,1,1
Sweden,United States,1991,2,3,5
Germany,Nigeria,1991,4,0,4
Taiwan,Italy,1991,0,5,5
Norway,New Zealand,1991,4,0,4
China PR,Denmark,1991,2,2,4
Japan,Sweden,1991,0,8,8
Brazil,United States,1991,0,5,5
Italy,Nigeria,1991,1,0,1
Taiwan,Germany,1991,0,3,3
China PR,New Zealand,1991,4,1,5
Norway,Denmark,1991,2,1,3
Japan,United States,1991,0,3,3
Brazil,Sweden,1991,0,2,2
Taiwan,Nigeria,1991,2,0,2
Italy,Germany,1991,0,2,2
Denmark,Germany,1991,1,2,3
China PR,Sweden,1991,0,1,1
Norway,Italy,1991,3,2,5
United States,Taiwan,1991,7,0,7
Sweden,Norway,1991,1,4,5
Germany,United States,1991,2,5,7
Sweden,Germany,1991,4,0,4
Norway,United States,1991,1,2,3
Spain,Republic of Ireland,1991,0,1,1
Greece,Netherlands,1992,0,3,3
Republic of Ireland,Spain,1992,0,1,1
Netherlands,Greece,1992,2,0,2
Switzerland,Belgium,1992,0,1,1
England,Scotland,1992,1,0,1
France,Denmark,1992,0,4,4
Finland,France,1992,1,1,2
Belgium,Norway,1992,0,0,0
Denmark,Finland,1992,5,0,5
England,Iceland,1992,4,0,4
Sweden,Spain,1992,1,1,2
Romania,Greece,1992,1,0,1
Hungary,Russia,1992,0,0,0
Scotland,Iceland,1992,0,0,0
Norway,Switzerland,1992,6,0,6
Yugoslavia,Germany,1992,0,3,3
Czechoslovakia,Italy,1992,0,3,3
Hungary,Bulgaria,1992,3,0,3
Netherlands,Romania,1992,1,1,2
Republic of Ireland,Sweden,1992,0,1,1
Iceland,Scotland,1992,2,1,3
Czechoslovakia,Poland,1992,3,0,3
Russia,Bulgaria,1992,3,0,3
Iceland,England,1992,1,2,3
Scotland,England,1992,0,2,2
Italy,Czechoslovakia,1992,2,2,4
Sweden,Republic of Ireland,1992,10,0,10
Romania,Netherlands,1992,0,0,0
Norway,Belgium,1992,8,0,8
France,Finland,1992,5,1,6
Poland,Italy,1992,1,4,5
Bulgaria,Russia,1992,1,2,3
Norway,Netherlands,1992,3,0,3
Russia,Germany,1992,0,7,7
Sweden,Denmark,1992,1,2,3
Italy,England,1992,3,2,5
England,Italy,1992,0,3,3
Denmark,Sweden,1992,1,1,2
Netherlands,Norway,1992,0,3,3
Germany,Russia,1992,0,0,0
Norway,Denmark,1993,1,0,1
Italy,Germany,1993,1,1,2
Germany,Denmark,1993,1,3,4
Italy,Norway,1993,0,1,1
Canada,Trinidad and Tobago,1993,4,0,4
United States,New Zealand,1993,3,0,3
Canada,New Zealand,1993,0,0,0
United States,Trinidad and Tobago,1993,9,0,9
New Zealand,Trinidad and Tobago,1993,7,0,7
United States,Canada,1993,1,0,1
Lithuania,Denmark,1993,0,11,11
Sweden,Latvia,1993,9,0,9
Ukraine,Russia,1993,0,2,2
Norway,Czech Republic,1993,6,1,7
Lithuania,Bulgaria,1993,0,1,1
Ukraine,Romania,1993,2,2,4
Wales,Switzerland,1993,2,3,5
Latvia,Slovakia,1993,0,1,1
Slovenia,England,1993,0,10,10
Finland,Hungary,1993,1,1,2
Iceland,Netherlands,1993,2,1,3
Denmark,Bulgaria,1993,6,1,7
Belgium,Slovenia,1993,7,0,7
Poland,Ukraine,1993,1,3,4
Bulgaria,Lithuania,1993,1,1,2
Slovakia,Sweden,1993,0,2,2
Norway,Hungary,1993,8,0,8
Romania,Russia,1993,2,2,4
Italy,Scotland,1993,4,0,4
Switzerland,Germany,1993,0,5,5
Belgium,Spain,1993,0,0,0
Belgium,England,1993,0,3,3
Poland,Romania,1993,0,4,4
Switzerland,Croatia,1993,1,2,3
Italy,France,1993,2,0,2
Malaysia,South Korea,1993,0,4,4
China PR,North Korea,1993,1,1,2
Hong Kong,Philippines,1993,5,0,5
Japan,Taiwan,1993,6,1,7
China PR,South Korea,1993,6,0,6
Malaysia,North Korea,1993,0,12,12
Japan,Philippines,1993,15,0,15
Taiwan,Hong Kong,1993,2,0,2
Malaysia,China PR,1993,0,7,7
North Korea,South Korea,1993,3,0,3
Japan,Hong Kong,1993,4,0,4
Taiwan,Philippines,1993,12,0,12
North Korea,Taiwan,1993,2,0,2
China PR,Japan,1993,3,1,4
Portugal,France,1993,0,1,1
Spain,England,1993,0,0,0
Taiwan,Japan,1993,0,3,3
North Korea,China PR,1993,0,3,3
England,Spain,1994,0,0,0
France,Scotland,1994,1,0,1
Portugal,Italy,1994,1,3,4
England,Belgium,1994,6,0,6
Portugal,United States,1994,0,5,5
Norway,Finland,1994,6,0,6
Portugal,Sweden,1994,0,3,3
Denmark,Finland,1994,1,0,1
United States,Sweden,1994,1,0,1
Norway,Denmark,1994,6,1,7
Netherlands,Greece,1994,2,0,2
Spain,Slovenia,1994,17,0,17
Portugal,Finland,1994,2,0,2
Sweden,Denmark,1994,1,0,1
Norway,United States,1994,1,0,1
France,Portugal,1994,3,0,3
Germany,Wales,1994,12,0,12
Switzerland,Wales,1994,4,2,6
Scotland,Italy,1994,0,4,4
Croatia,Wales,1994,3,0,3
Greece,Netherlands,1994,0,4,4
England,Slovenia,1994,10,0,10
Hungary,Norway,1994,0,4,4
Czech Republic,Finland,1994,0,0,0
Scotland,Portugal,1994,1,2,3
Spain,Belgium,1994,4,0,4
Croatia,Switzerland,1994,1,1,2
Wales,Germany,1994,0,12,12
Czech Republic,Hungary,1994,0,0,0
France,Italy,1994,1,1,2
Slovenia,Belgium,1994,0,8,8
Russia,Poland,1994,0,0,0
Finland,Norway,1994,2,2,4
Latvia,Sweden,1994,0,5,5
Wales,Croatia,1994,1,2,3
Bulgaria,Denmark,1994,0,4,4
Portugal,Scotland,1994,8,2,10
Slovenia,Spain,1994,0,8,8
Iceland,Greece,1994,3,0,3
Croatia,Germany,1994,0,7,7
Norway,Finland,1994,4,0,4
Italy,Portugal,1994,1,2,3
Russia,Romania,1994,1,0,1
Denmark,Lithuania,1994,11,0,11
Sweden,Slovakia,1994,6,0,6
Finland,Czech Republic,1994,4,0,4
Canada,Jamaica,1994,7,0,7
United States,Mexico,1994,9,0,9
Trinidad and Tobago,Jamaica,1994,2,1,3
Canada,Mexico,1994,6,0,6
Mexico,Jamaica,1994,3,1,4
United States,Trinidad and Tobago,1994,11,1,12
United States,Jamaica,1994,10,0,10
Canada,Trinidad and Tobago,1994,5,0,5
Mexico,Trinidad and Tobago,1994,3,3,6
Canada,United States,1994,0,6,6
Ukraine,Poland,1994,3,0,3
Romania,Poland,1994,3,0,3
Hungary,Czech Republic,1994,4,4,8
Russia,Ukraine,1994,2,1,3
Slovakia,Latvia,1994,3,1,4
Germany,Croatia,1994,8,0,8
Czech Republic,Norway,1994,0,9,9
Hungary,Finland,1994,0,1,1
Netherlands,Iceland,1994,0,1,1
Poland,Russia,1994,1,2,3
Germany,Switzerland,1994,11,0,11
Scotland,France,1994,0,3,3
Romania,Ukraine,1994,5,0,5
Greece,Iceland,1994,1,6,7
Iceland,England,1994,1,2,3
Russia,Germany,1994,0,1,1
New Zealand,Australia,1994,2,1,3
Papua New Guinea,New Zealand,1994,0,2,2
Denmark,Sweden,1994,2,0,2
Italy,Norway,1994,1,3,4
Papua New Guinea,Australia,1994,0,7,7
Australia,New Zealand,1994,1,0,1
Papua New Guinea,Australia,1994,0,4,4
Papua New Guinea,New Zealand,1994,0,6,6
Germany,Russia,1994,4,0,4
Norway,Italy,1994,4,2,6
Sweden,Denmark,1994,3,0,3
England,Iceland,1994,2,1,3
South Africa,Zambia,1994,5,3,8
Nigeria,Sierra Leone,1994,9,0,9
Sierra Leone,Nigeria,1994,0,2,2
Zambia,South Africa,1994,2,6,8
England,Germany,1994,1,4,5
South Africa,Angola,1995,3,1,4
Brazil,Ecuador,1995,13,0,13
Chile,Bolivia,1995,11,0,11
Ghana,Nigeria,1995,0,3,3
Brazil,Chile,1995,6,1,7
Argentina,Ecuador,1995,5,1,6
Argentina,Bolivia,1995,12,0,12
Chile,Ecuador,1995,2,2,4
Brazil,Argentina,1995,8,0,8
Ecuador,Bolivia,1995,6,1,7
Brazil,Bolivia,1995,15,0,15
Argentina,Chile,1995,1,0,1
Angola,South Africa,1995,3,3,6
Brazil,Argentina,1995,2,0,2
Nigeria,Ghana,1995,2,0,2
Germany,England,1995,2,1,3
Norway,Sweden,1995,4,3,7
Nigeria,South Africa,1995,4,1,5
Sweden,Norway,1995,4,1,5
Sweden,Italy,1995,4,0,4
Norway,Netherlands,1995,0,1,1
Portugal,Denmark,1995,0,5,5
United States,Finland,1995,2,0,2
Norway,Italy,1995,3,1,4
Sweden,Netherlands,1995,2,1,3
Portugal,United States,1995,0,3,3
Denmark,Finland,1995,3,0,3
Netherlands,Italy,1995,0,2,2
Sweden,Norway,1995,0,2,2
Denmark,United States,1995,2,0,2
Portugal,Finland,1995,0,2,2
South Africa,Nigeria,1995,1,7,8
Portugal,Italy,1995,1,4,5
Finland,Netherlands,1995,1,1,2
Norway,United States,1995,3,3,6
Sweden,Denmark,1995,3,2,5
Germany,Sweden,1995,3,2,5
Germany,Japan,1995,1,0,1
Sweden,Brazil,1995,0,1,1
Norway,Nigeria,1995,8,0,8
England,Canada,1995,3,2,5
United States,China PR,1995,3,3,6
Denmark,Australia,1995,5,0,5
Sweden,Germany,1995,3,2,5
Brazil,Japan,1995,1,2,3
Norway,England,1995,2,0,2
Nigeria,Canada,1995,3,3,6
